MapDate,StateAbbreviation,StatisticFormatID,ValidStart,ValidEnd,D0,D1,D2,D3,D4,None
20240709,Combine,1,2024-07-09,2024-07-15,51.55,18.16,2.74,0.00,0.00,48.45
20240702,Combine,1,2024-07-02,2024-07-08,53.55,19.11,2.62,0.00,0.00,46.45
20240625,Combine,1,2024-06-25,2024-07-01,53.01,18.15,2.33,0.00,0.00,46.99
20240618,Combine,1,2024-06-18,2024-06-24,46.90,17.69,2.38,0.00,0.00,53.10
20240611,Combine,1,2024-06-11,2024-06-17,41.94,16.90,2.42,0.00,0.00,58.06
20240604,Combine,1,2024-06-04,2024-06-10,34.58,17.87,3.11,0.08,0.00,65.42
20240528,Combine,1,2024-05-28,2024-06-03,35.04,19.39,5.56,0.17,0.00,64.96
20240521,Combine,1,2024-05-21,2024-05-27,35.74,18.24,5.66,0.27,0.00,64.26
20240514,Combine,1,2024-05-14,2024-05-20,38.94,19.16,6.35,0.31,0.00,61.06
20240507,Combine,1,2024-05-07,2024-05-13,46.80,21.25,6.70,0.28,0.00,53.20
20240430,Combine,1,2024-04-30,2024-05-06,49.24,23.30,7.09,0.28,0.00,50.76
20240423,Combine,1,2024-04-23,2024-04-29,54.81,26.19,6.18,0.28,0.00,45.19
20240416,Combine,1,2024-04-16,2024-04-22,54.03,22.80,4.84,0.11,0.00,45.97
20240409,Combine,1,2024-04-09,2024-04-15,52.03,20.69,4.43,0.00,0.00,47.97
20240402,Combine,1,2024-04-02,2024-04-08,54.14,21.17,4.73,0.18,0.00,45.86
20240326,Combine,1,2024-03-26,2024-04-01,54.49,20.58,4.77,0.18,0.00,45.51
20240319,Combine,1,2024-03-19,2024-03-25,59.04,21.62,5.41,0.18,0.00,40.96
20240312,Combine,1,2024-03-12,2024-03-18,57.79,23.41,6.40,0.42,0.00,42.21
20240305,Combine,1,2024-03-05,2024-03-11,58.21,24.61,7.31,0.42,0.00,41.79
20240227,Combine,1,2024-02-27,2024-03-04,57.11,23.08,7.09,0.42,0.00,42.89
20240220,Combine,1,2024-02-20,2024-02-26,47.74,20.21,6.70,0.24,0.00,52.26
20240213,Combine,1,2024-02-13,2024-02-19,44.42,20.06,6.18,0.00,0.00,55.58
20240206,Combine,1,2024-02-06,2024-02-12,46.59,20.66,6.27,0.28,0.00,53.41
20240130,Combine,1,2024-01-30,2024-02-05,49.71,23.10,6.97,0.31,0.00,50.29
20240123,Combine,1,2024-01-23,2024-01-29,54.88,28.08,7.24,0.31,0.00,45.12
20240116,Combine,1,2024-01-16,2024-01-22,55.89,30.39,6.74,0.96,0.00,44.11
20240109,Combine,1,2024-01-09,2024-01-15,57.03,30.20,9.46,0.96,0.00,42.97
20240102,Combine,1,2024-01-02,2024-01-08,56.53,29.20,9.97,1.30,0.02,43.47
20231226,Combine,1,2023-12-26,2024-01-01,55.71,28.06,10.02,1.52,0.19,44.29
20231219,Combine,1,2023-12-19,2023-12-25,57.06,29.24,11.32,1.80,0.24,42.94
20231212,Combine,1,2023-12-12,2023-12-18,56.47,29.11,12.67,2.16,0.34,43.53
20231205,Combine,1,2023-12-05,2023-12-11,54.49,29.32,11.17,2.13,0.34,45.51
20231128,Combine,1,2023-11-28,2023-12-04,54.24,31.86,14.01,2.19,0.34,45.76
20231121,Combine,1,2023-11-21,2023-11-27,51.67,33.17,13.46,2.10,0.34,48.33
20231114,Combine,1,2023-11-14,2023-11-20,50.13,32.98,14.14,2.90,0.43,49.87
20231107,Combine,1,2023-11-07,2023-11-13,46.87,31.49,14.79,2.84,0.43,53.13
20231031,Combine,1,2023-10-31,2023-11-06,47.44,31.94,15.65,2.94,0.43,52.56
20231024,Combine,1,2023-10-24,2023-10-30,55.69,37.58,21.06,5.95,0.59,44.31
20231017,Combine,1,2023-10-17,2023-10-23,55.65,36.97,21.07,5.95,0.59,44.35
20231010,Combine,1,2023-10-10,2023-10-16,56.68,38.91,21.43,6.27,0.59,43.32
20231003,Combine,1,2023-10-03,2023-10-09,57.22,39.35,21.89,6.73,0.59,42.78
20230926,Combine,1,2023-09-26,2023-10-02,57.53,38.78,21.41,7.64,0.59,42.47
20230919,Combine,1,2023-09-19,2023-09-25,58.68,40.15,22.39,7.99,0.60,41.32
20230912,Combine,1,2023-09-12,2023-09-18,58.08,39.54,21.41,6.70,0.28,41.92
20230905,Combine,1,2023-09-05,2023-09-11,57.94,39.54,20.60,6.45,0.28,42.06
20230829,Combine,1,2023-08-29,2023-09-04,54.86,37.94,18.70,5.78,0.25,45.14
20230822,Combine,1,2023-08-22,2023-08-28,55.22,35.98,17.02,4.33,0.25,44.78
20230815,Combine,1,2023-08-15,2023-08-21,55.28,34.50,14.26,3.72,0.25,44.72
20230808,Combine,1,2023-08-08,2023-08-14,60.04,36.70,15.40,5.18,0.44,39.96
20230801,Combine,1,2023-08-01,2023-08-07,63.46,39.39,17.72,6.12,0.60,36.54
20230725,Combine,1,2023-07-25,2023-07-31,58.67,38.49,18.27,6.57,0.60,41.33
20230718,Combine,1,2023-07-18,2023-07-24,58.79,38.56,18.19,7.20,0.90,41.21
20230711,Combine,1,2023-07-11,2023-07-17,57.07,40.22,20.44,7.86,1.31,42.93
20230704,Combine,1,2023-07-04,2023-07-10,57.32,41.06,21.54,8.94,1.85,42.68
20230627,Combine,1,2023-06-27,2023-07-03,57.93,41.63,22.54,8.52,2.01,42.07
20230620,Combine,1,2023-06-20,2023-06-26,61.33,40.67,20.08,8.22,1.92,38.67
20230613,Combine,1,2023-06-13,2023-06-19,60.28,36.87,18.46,7.34,2.49,39.72
20230606,Combine,1,2023-06-06,2023-06-12,64.05,35.51,18.64,7.83,2.77,35.95
