"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","54",""
"SURVEY","2023","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2023","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","61",""
"SURVEY","2023","YEAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","58",""
"SURVEY","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51.5",""
"SURVEY","2023","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","35.5",""
"SURVEY","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","58",""
"SURVEY","2023","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2022","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2022","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","57.5",""
"SURVEY","2022","YEAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","58.5",""
"SURVEY","2022","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2022","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","45.5",""
"SURVEY","2022","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2022","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2022","YEAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","55.5",""
"SURVEY","2022","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","38",""
"SURVEY","2021","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2021","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","65",""
"SURVEY","2021","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2021","YEAR","","STATE","IOWA","19","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2021","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2021","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2021","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2021","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","25.5",""
"SURVEY","2021","YEAR","","STATE","OHIO","39","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","57",""
